description,unit
"Earth work excavation in all kinds of soils, wet or dry such as clay, hard clay, black cotton soils, red earth, morrum, gravel etc., in loose and slushy conditions, except rock requiring, blastering for foundation of man holes including bailing out water (pumping out water if necessary) with necessary site clearance, marking out temporary stepping, sloping, shoring, strutting, sectioning, tamping as directed with an initial lead of 10mts. and lift of 3mts., complete as directed by the Engineer-in-Charge.",
"PROVIDING REINFORCED CEMENT CONCRETE Prop 1:1 1/2 :3 using with of grade using 20mm gauge hard granite machine crushed metal including labour charges for machine mixing, centering, laying concrete, compacting, vibrating, rendering, fine finishing, curing, conforming to IS 456-1978 including all incidental, operational, scaffolding charges, cost and conveyance of all materials and labour, at site of work complete (excluding cost of steel, binding wire and its fabrication) as directed by the Engineer-in-Charge. For base For walls For slab",
"Supply and fabrication of tor steel Fe 500 of Visakha / Tata steel/ Sail / Tirupathi TMT or any other ISI marked or ISO approved makes including cutting, bending, tying grills as per design, cost of binding wire, loading, unloading and transportation to the site of work including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. For box type culvert",
"Providing dry stone masonry with granite stone including bond stone, scaffolding,hire charges of tools cost and conveyance of all labour and materials at site of work complete Deduction R.C.C box",
Transportation of excavated earth to distance of 5Km away from the size including cost and conveyance of all labopur and materials at site of work complete as directed by the Engineer In Charge.,
Cuting of CC pavement 150 mm thick by using poer drilling machine and removing the debris away form the site including hire charges of power drilling machine and crew charges including cost and conveyance od all labour and materials at site of work complete As directed by the Engineer In charge. Security room front side CC patch,
"Transportation of excavated soils and disposing with in a distance if 1 km including loading, unloading, idle hire charges of truck including cost and conveyance of all etc complete Qty same as item no. 1",
"Making of holes above 18mm dia in RCC/any stones above 50mm thick including hire charges of drilling machine,crew charges ,all incidental and operational c/c of all albour and materials at site of work etc., complete as directed.(SSR P.No.166,Sl.No.1059) East side platforms west side platforms",
"providing RCC 1:2:4 of M20 grade using a minimum quantity of 330kgs of cement and 20mm gauge hard granite machine crushed metal conforming the concrete to IS 456-2000 including labour charges for machine mixing, centering, laying concrete, compacting, vibrating, rendering fine finishing, curing, including all incidental, operational, scaffolding, lift and seigniorage charges, cost and conveyance of all materials and labour etc. at site of work complete (excluding cost of steel, binding wire and its fabracation) as directed by the Engineer-in-charge East side platforms beams west side platforms beams",
"Providing and laying CC(1:2:4)prop.using 20mm gauge hard granite machine crushed metal in foundation including machine mixing , depositing in position,ramming,finishing all incidental and operational, seig.charges, curing charges, centering charges ,c/c of all labour and materials at site of work etc., complete. East side platforms kerb beam West side platforms kerb beam",
"Supply and Labour charges for fabrication and placing of reinforcement tor steel bars including bending tying grills with binding wire, transportation steel from place of supply to work spot all incidental and operational charges, c/c of all labourand materials at site of work etc., complete as directed.(Approved data Sl.No.92) For Qty Item No.2",
"Cement Plastering in C.M 1:5 Pro. (1cement: 5sand) 1/2"" or 12mm thick including fine rendering and smooth finishing, curing, cleaning the surface including all incidental operational, scaffolding, lift and seigniorage charges, cost and conveyance of all labour and materials etc.at site of work complete as directed by the Engineer-in-charge. For East side platforms Kerb Beam Sides For West side platforms Kerb Beam Sides",
"Painting with synthetic Enamel paint two coats to new walls over exisiting priming coat of approved colour and quality including labour charges for preparing and cleaning the surface and dirt with soap and brushes including cost and conveyance of all labour and materials at site of work complete with necessary scaffolding, lift etc. complete as directed by the Engineer-in-charge For East side platfoms Kerb Beam Sides For West side platfoms Kerb Beam Sides",
Add Provision for NAC charges @ 0.10%,
Providing RCC M20 for Kerb Beams,
Providing C C 1:2:4 Prop.with 20mm,
Engaging of labour to removing the cuddy stones and iron boards and debris in Bus Station Premises including cost and conveyance of all labour and materials at site of work complete. engaging Man Mazdoor,
Cutting holes in Brick masonry & Repairs labour charges including cost and conveyance of all labour and materials at site of work complete. Toilet & pipe line,
Packing of cement mortar in between wall and WPC Door freme and plastering 20 mm thick 1:3 pro.(1cement:3Sand) including cost and conveyance of all labour and materials at site of work complete.,
"Engaging of Mechanical excavator (JCB) for cutting the heaps / bushes and removing the garbage/debries, including transportation of JCB to the site of work, cost and conveyance of all labour and materials at site of work complete as directed by the E-in-C.",
"Supply & fixing of single bowl stainless steel sink size 24""X18""X12"" (609.6X457.2X203.2mm) 1mm thick with accessories with MS brackets for fixing in walls including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.",
Fixing of waste water pipe line for drinking water including cost and conveyance of all labour and materials at site of work complete. SSR BMW - G .33 Seigniorage charges Add NAC0.1% Add GST 18%,
Labour charges for removing of damaged polyethiline Sintex water storage tank (2000lts) with necessary pipe lines and connections etc. cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge.,
Supply and fixing of following nominal bore GI pipe medium grade properties & weight as per IS - 1239 including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. a)1'' GI Elbow b) 1'' GI Nipple 9'' long,
Supply & fixing of following CPVC pipes / specials to meet the requirement of ASTM - D 2846 and are produced in CTS (Copper tube sizes) 41.30mm OD Ashirvad flow guard SDR 13.50 pipes are made from idential CPVC compounds having the same physical properties for hot & cold water (IS 15778 - 2007) including cost and conveyance of all labour and materials at site of work complete as directed. a) 1'' CPVC pipe13.50 OD b) 1'' CPVC MTA c)1'' CPVC union d)1'' CPVC Elbow e)1'' CPVC tank nippals f)1'' CPVC 'T' g) 1 1/2 x 1 CPVC bush h) 1'' CPVC MTA i) 1'' CPVC shoes j) 1'' CPVC coupling k) Cleaning of terrace Man mazdoor,
